Name	Clone	Marker	Against	Isotype	Company	Cat..	Dilution.for.FACS	Box	Location	Back.up	Storage	Application	Group
43	CD11b APC	ICRF44	APC	Human	mouse IgG1 kappa	Biolegend	301309		Abs box 1	D7		Fridge	NA	Van Boxtel
44	SETD3 antibody			Human		Sigma	HPA003591		Abs freezer box 2	NA		Freezer	WB/IF	Van Boxtel
45	CD90 FITC	5E10	FITC	Human	?	BioLegend	328107		Abs box 3	C6		Fridge	NA	Van Boxtel
46	TCRab APC	T10B9.1A-31	APC	Human	Mouse IgG1, κ	BD Bioscience	563821		Abs box 4	B7		Fridge	NA	Van Boxtel
47	CD14 AF700	HCD14	Alexa Fluor 700	Human	mouse IgG1 kappa	BioLegend	325614	1:100	Abs box 2	A2	YES	Fridge	NA	Van Boxtel
48	CD33 APC	WM53	APC	Human	mouse IgG1 kappa	BioLegend	303407	1:50	Abs box 2	C10	YES	Fridge	NA	Van Boxtel
49	Ig lambda light chain AF700	MHL-38	AF700	Human	Mouse IgG2a, κ	BioLegend	316631	FACS	Abs box 5	E3		Fridge	NA	Van Boxtel
50	CD66b FITC	G10F5	FITC	Human	mouse IgM kappa	BioLegend	305103		Abs box 3	C1		Fridge	NA	Van Boxtel
51	CD5 APC	UCHT2	APC	Human	Mouse IgG1, κ	BioLegend	300611		Abs box 1	B10		Fridge	NA	Van Boxtel
52	POLH	B-7	n.a.	Human	Mouse mAb IgG1 κ 	Santa Cruz Biotechnology	sc-17770	WB (?)	Abs box 5	C1		Fridge	NA	Van Boxtel
53	CD25 BB515	2A3	BB515	Human	Mouse BALB/c IgG1, κ	BD Bioscience	564468	1:200	Abs box 2	C3		Fridge	NA	Van Boxtel
54	CD3 APC/Fire750	SK7	APC/Fire750	Human	mouse IgG1 kappa	BioLegend	344839	1:100	Abs box 1	B1	YES	Fridge	NA	Van Boxtel
55	CD19 BV711	SJ25C1	BV 711	Human	Mouse BALB/c IgG1, κ	BD Bioscience	563038		Abs box 2	B3		Fridge	NA	Van Boxtel
56	CD11c BV605	3.9	BV605	Human	mouse IgG1 kappa	Biolegend	301635		Abs box 1	D10		Fridge	NA	Van Boxtel
57	CD40 BUV563	5C3	BUV563	Human	?	BD Bioscience	741381		Abs box 2	D10		Fridge	NA	Van Boxtel
58	Claudin-3 PE	n.a.	PE	Human	Mouse IgG2A	R&D systems	FAB4620P	FACS	Abs box 5	D5		Fridge	NA	Van Boxtel
59	CENPH antibody			Human		Sigma	HPA036494		Abs freezer box 2	NA		Freezer	WB/IF	Van Boxtel
60	CD43 BV421	1G10	Brillian Violet 421	Human	Mouse IgG1, κ	BD Biosciences	562916		Abs box 3	A1		Fridge	NA	Van Boxtel
