Name	Clone	Marker	Against	Isotype	Company	Cat..	Dilution.for.FACS	Box	Location	Back.up	Storage	Application	Group
187	CD40 PE/Cy7	5C3	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	334321		Abs box 2	D8		Fridge	NA	Van Boxtel
188	CD31 BV605	L133.1	BV605	Human	Mouse IgG1, κ	BD Bioscience	745119		Abs box 2	C8	YES	Fridge	NA	Van Boxtel
189	CD3 BV650	UCHT1	Brilliant Violet 650	Human	mouse IgG1 kappa	BioLegend	300467		Abs box 1	A7		Fridge	NA	Van Boxtel
190	CD117 Pe/Cy7	104D2	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	313211	1:20	Abs box 3	D2		Fridge	NA	Van Boxtel
191	CD66b PE/Dazzle 594	G10F5	PE/Dazzle 594	Human	mouse IgM kappa	BioLegend	305121		Abs box 3	B10	YES	Fridge	NA	Van Boxtel
192	CD19 PE/Dazzle 594	HIB19	PE/Dazzle 594	Human	mouse IgG1 kappa	BioLegend	302251		Abs box 2	B6	YES (2x)	Fridge	NA	Van Boxtel
193	CD49f PE/Cy7	GoH3	PE/Cy7	Human	rat IgG1a kappa	BioLegend	313621	1:100	Abs box 3	B3	YES	Fridge	NA	Van Boxtel
194	CD3 PE	UCHT1	PE	Human	Mouse BALB/c IgG1, κ	BD Bioscience	561809		Abs box 1	A8	Yes (2x)	Fridge	NA	Van Boxtel
195	Streptavidin BUV661	n.a.	BUV661	Mouse	n.a.	BD BIoscience	565081	FACS	Abs box 5	C10		Fridge	NA	Van Boxtel
196	PMS2	EPR3947		Human	rabbit monoclonal	Abcam	ab110638		Abs freezer box 1	NA		Freezer	WB	Van Boxtel
197	CD56 BV605	NCAM16.2	BV605	Human	?	BD Biosciences	562779		Abs box 3	B8		Fridge	NA	Van Boxtel
198	Lamin A + C Antibody 	133A2	AF700	Human	Mouse mAb	NovusBio	NBP1-97688AF700	FACS	Abs box 5	C7		Fridge	NA	Van Boxtel
199	S9.6 (Anti-DNA-RNA Hybrid)	S9.6		Human	mouse monoclonal	Kerafast	ENH001		Abs freezer box 1	NA		Freezer	WB/IF/IP	Van Boxtel
200	CD265 (RANK) AF647	9A725	AF647	Human	IgG1, k 	BD Pharmigen	566348	FACS	Abs box 5	D2		Fridge	NA	Van Boxtel
201	rabbit IgG PE isotype control	DA1E	PE		rabbit mAb	Cell Signaling Technology	5742S	FACS	Abs box 5	A2		Fridge	NA	Van Boxtel
202	CD27 APCCy7	M-T271	APC/Cy7	Human	Mouse IgG1, κ	BioLegend	356423		Abs box 2	C4	YES	Fridge	NA	Van Boxtel
203	CD45RA PerCP/Cy5.5	HI100	PerCP/Cy5.5	Human	mouse IgG2b kappa	BioLegend	304121	1:20	Abs box 3	B2		Fridge	NA	Van Boxtel
204	CD10PE/CY5	H10a	PE Cy5	Human	mouse IgG1 kappa	Biolegend	312206		Abs box 1	D4		Fridge	NA	Van Boxtel
205	TCR Vg9 PE/Cy5	B3	PE Cy5	Human	Mouse IgG1, κ	BioLegend 	331323		Abs box 4	C7		Fridge	NA	Van Boxtel
206	CD45 AF700	HI30	Alexa Fluor 700	Human	mouse IgG1 kappa	BioLegend	304023		Abs box 3	A6	YES	Fridge	NA	Van Boxtel
207	CD19 BV421	HIB19	BV421	Human	Mouse IgG1	BioLegend	302233		Abs box 2	B8		Fridge	NA	Van Boxtel
208	CD42b PE	HIP1	PE	Human	mouse IgG1 kappa	BioLegend	303905	1:20	Abs box 2	E3	YES	Fridge	NA	Van Boxtel
209	CD235a PE/Cy7	6A-R2	PE/Cy7	Human	mouse IgG2b kappa	BioLegend	563666		Abs box 4	A7		Fridge	NA	Van Boxtel
210	CD19 AF700	HIB19	Alexa Fluor 700	Human	mouse IgG1 kappa	bioLegend	302225		Abs box 2	B5		Fridge	NA	Van Heesch
211	RUNX1 antibody			Human	rabbit polyclonal	Abcam	ab35962		Abs freezer box 2	NA		Freezer	WB	Van Heesch
212	CD31 BV605	L133.1	BV605	Human	Mouse IgG1, κ	BD Bioscience	745119		Abs box 2	C8	YES	Fridge	NA	Van Heesch
213	anti-mouse IgG IRDye 680RD	n.a.	IRDye 680CW	Mouse	goat	LI-COR	925-68070	WB (1:10000)	Abs box 5	B2		Fridge	NA	Van Heesch
214	CD19 BV785	HIB19	BV785	Human	mouse IgG1 kappa	BioLegend	302239		Abs box 2	B7		Fridge	NA	Van Heesch
215	CD14 PE	63D3	PE	Human	mouse IgG1 kappa	BioLegend	367103		Abs box 2	A1	YES	Fridge	NA	Van Heesch
216	CD3 AF700	Ucht1	AF700	Human	Mouse IgG1, k	Biolegend	300403		Abs box 1	B3	Yes	Fridge	NA	Van Heesch
217	CD90 FITC	5E10	FITC	Human	?	BioLegend	328107		Abs box 3	C6		Fridge	NA	Van Heesch
218	aliquot CD45 BV510		Brilliant Violet 510						Abs box 5	E2		Fridge	NA	Van Heesch
219	RNASEH1			Human	rabbit polyclonal	Abcam	ab229078	1:1000 WB	Abs freezer box 2	NA		Freezer	WB	Van Heesch
220	CD249 BV650	2D3/APA	BV650	Human	Mouse BALB/c IgG1, κ	BD Bioscience	745361		Abs box 4	A8		Fridge	NA	Van Heesch
221	CD3 BV711	UCHT1	BV711	Human	Mouse IgG1, kappa	BioLegend	300463		Abs box 1	A4		Fridge	NA	Van Heesch
222	anti-rabbit IgG AF594	n.a.	Alexa Fluor 594	rabbit	goat	invitrogen	2165334	IF	Abs box 5	A5		Fridge	NA	Van Heesch
223	CCRL1 BV786	13E11	Brilliant Violet 786	Human	Mouse BALB/c IgG2b, κ	BD Bioscience	747802		Abs box 4	D1		Fridge	NA	Van Heesch
224	CD117 Pe/Cy7	104D2	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	313211	1:20	Abs box 3	D2		Fridge	NA	Van Heesch
225	CD25 PerCP-Cy5.5	M-A251	PerCP-Cy5.5	Human	Mouse BALB/c IgG1, κ	BD Pharmigen	560503		Abs box 2	C2		Fridge	NA	Van Heesch
226	Streptavidin BV711	n.a.	Brilliant Violet 711	Human	n.a.	BioLegend	405241	FACS	Abs box 5	D1		Fridge	NA	Van Heesch
227	CD66b FITC	G10F5	FITC	Human	mouse IgM kappa	BioLegend	305103		Abs box 3	C1		Fridge	NA	Van Heesch
228	CD13 APC	WM15	APC	Human	mouse IgG1 kappa	BioLegend	301705		Abs box 1	E3		Fridge	NA	Van Heesch
229	CD117 BUV395	YB5.B8	BUV395	Human	Mouse BALB/c IgG1	BD Bioscience	745740	1:200	Abs box 3	D5		Fridge	NA	Van Heesch
230	TCRgd APC	11F2	APC	Human	Mouse IgG1, k 	Miltenyi	130-113-500		Abs box 4	B9		Fridge	NA	Van Heesch
231	CD8a BV650	RPA-T8	Brilliant Violet 650	Human	Mouse IgG1, κ	BD Bioscience	563821		Abs box 1	C6		Fridge	NA	Van Heesch
232	CD95 PE	DX2	PE	Human	mouse IgG1 kappa	BioLegend	305607	1:50	Abs box 3	C8		Fridge	NA	Van Heesch
233	NSB1 (NBN)			Human	rabbit polyclonal	Invitrogen	711701		Abs freezer box 1	NA		Freezer	WB	Van Heesch
234	Phospho RPA32 antibody	n.a.	n.a.	Human, Mouse	Rabbit polyclonal	Bethyl	A300-245A-M	WB + IF	Abs box 5	B10		Fridge	NA	Van Heesch
235	TCRgd BV421	11FS	BV421	Human	Mouse BALB/c IgG1	BD Bioscience	744870		Abs box 4	C2		Fridge	NA	Van Heesch
236	MPG	EPR10959(B)		Human	rabbit mAb	Abcam	ab155092	1:10000	Abs freezer box 1	NA		Freezer	WB	Van Heesch
237	PMS1	E-3	n.a.	Human	Mouse mAb	Santa Cruz Biotechnology	sc-515302	WB	Abs box 5	B9		Fridge	NA	Van Heesch
238	CD163 APC	GHI61	APC	Human	Mouse IgG1, k	BioLegend	333609		Abs box 4	A3		Fridge	NA	Van Heesch
239	CCR10 APC	6588-5	APC	Human	Armenian Hamster IgG	BioLegend	341505		Abs box 4	D2		Fridge	NA	Van Heesch
240	CHD-1			Human	rabbit polyclonal	Sigma	HPA022236-25ul	1:500 IF	Abs freezer box 2	NA		Freezer	WB/IF	Van Heesch
241	H3K36me2	C75H12		human	rabbit monoclonal	Cell Signaling Technology	2901	1:1000	Abs freezer box 1	NA		Freezer	WB	Van Heesch
242	Precision Plus Protein WesternC standard					Bio-Rad	161-0376		Abs freezer box 1	NA		Freezer	WB	Van Heesch
243	CD123 PE/Cy7	6H6	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	306009		Abs box 3	D8		Fridge	NA	Van Heesch
244	CD33 PE/Cy7	WM53	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	303433	1:20	Abs box 2	C9	YES	Fridge	NA	Van Heesch
245	Lamin A + C Antibody 	133A2	AF700	Human	Mouse mAb	NovusBio	NBP1-97688AF700	FACS	Abs box 5	C7		Fridge	NA	Van Heesch
246	TCR Vd1 FITC	REA173	FITC	Human		Miltenyi	130-118-498		Abs box 4	C4		Fridge	NA	Van Heesch
247	PMS2	EPR3947		Human	rabbit monoclonal	Abcam	ab110638		Abs freezer box 1	NA		Freezer	WB	Van Heesch
248	CD4 PE/Cy7	L200	PE-Cy7	Human	Mouse BALB/c IgG1, κ	BD Pharmingen	560644		Abs box 1	B6		Fridge	NA	Van Heesch
249	ATM [Y170]			Human	rabbit monoclonal	Abcam	ab32420		Abs freezer box 1	NA		Freezer	WB	Van Heesch
250	MGMT	MT 3.1	n.a.	Human	Mouse mAb IgG1 κ 	Invitrogen	MA5-13506	WB (1:500)	Abs box 5	B4		Fridge	NA	Van Heesch
251	Vybrant DyeCycle Ruby stain					Invitrogen	V10309		Abs freezer box 1	NA		Freezer	FACS	Van Heesch
252	pChk2 PE	C13C1	PE	Human	rabbit mAb	Cell Signaling Technology	12812S	FACS	Abs box 5	A1		Fridge	NA	Van Heesch
253	CD44 PE	?	PE	Human	?	Miltenyi	130095180		Abs box 3	A3		Fridge	NA	Van Heesch
254	CD123 BV605	6H6	Brilliant Violet 605	Human	mouse IgG1 kappa	BioLegend	306025		Abs box 3	D6	YES	Fridge	NA	Van Heesch
255	CD10 APC	HI10a	APC	Human	Mouse IgG1, κ	Biolegend	312209		Abs box 1	D3	YES (2x)	Fridge	NA	Van Heesch
256	CD95 APC	DX2	APC	Human	mouse IgG1 kappa	BioLegend	305611		Abs box 3	C7		Fridge	NA	Van Heesch
257	HPRT			Human	rabbit polyclonal	Abcam	ab10479	1:2000	Abs freezer box 1	NA		Freezer	WB	Van Heesch
258	CD45RA BV605	HI100	BV605	Human	Mouse IgG2b, kappaa	Biolegend	304133		Abs box 3	B1		Fridge	NA	Van Heesch
259	CD45 APC	2D1	APC	Human	mouse IgG1 kappa	BioLegend	368511	1:20	Abs box 3	A5	YES	Fridge	NA	Van Heesch
260	CD14 BV650	M5E2	Brilliant Violet 650	Human	Mouse IgG2a, κ	BD Bioscience	563419	1:500	Abs box 2	A3		Fridge	NA	Van Heesch
261	AnnexinV APC	n.a.	APC	Human	n.a.	Biolegend	640941	FACS	Abs box 5	D4		Fridge	NA	Van Heesch
262	CD30 APC	BY88	APC	Human	mouse IgG1 kappa	BioLegend	333909	1:25	Abs box 2	C5		Fridge	NA	Van Heesch
263	TCR Vd1 FITC	TS8.2	FITC	Human	Mouse IgG1	ThermoFisher	TCR2730		Abs box 4	C3		Fridge	NA	Van Heesch
264	anti-mouse IgG HRP	n.a.	HRP	Mouse	sheep		NXA931V	WB (1:5000)	Abs box 5	E1		Fridge	NA	Van Heesch
265	CD205 BUV395	MMR1-7	BUV395	Human	Mouse IgG1, κ	BD Bioscience	744062		Abs box 4	A5		Fridge	NA	Van Heesch
266	CD11c APC	3.9	APC	Human	mouse IgG1 kappa	Company	301614		Abs box 1	D9		Fridge	NA	Van Heesch
267	CD265 (RANK) AF647	9A725	AF647	Human	IgG1, k 	BD Pharmigen	566348	FACS	Abs box 5	D2		Fridge	NA	Van Heesch
268	CD43 BV421	1G10	Brillian Violet 421	Human	Mouse IgG1, κ	BD Biosciences	562916		Abs box 3	A1		Fridge	NA	Van Heesch
269	CD8a AF700	HIT8a	AF700	Human	Mouse IgG1, κ	Biolegend	300920		Abs box 1	D1		Fridge	NA	Van Heesch
270	anti-rabbit IgG AF647	Poly4064	Alexa Fluor 647	Rabbit	donkey polyclonal	BioLegend	406414	FACS	Abs box 5	A6		Fridge	NA	Van Heesch
271	CCRL1 BV711	13E11	Brilliant Violet 711	Human	Mouse BALB/c IgG2b, κ	BD Bioscience	747803		Abs box 4	C10		Fridge	NA	Van Heesch
272	RNASEH1			Human	rabbit polyclonal	Proteintech	15606-1-AP	1:1000 WB	Abs freezer box 2	NA		Freezer	WB	Van Heesch
273	CD54	HCD54	None	Human	Mouse	Biolegend	322702	Interaction blocking	Abs box 5	C3	YES 	Fridge	NA	Van Heesch
274	CD117 BV421	YB5.B8	BV421	Human	Mouse IgG1, k 	BD Bioscience	562434	1:50	Abs box 3	D3		Fridge	NA	Van Heesch
275	CD56 BUV661	NCAM16.2	BUV661	Human	Mouse BALB/c IgG2b, κ	BD optibuild	750478		Abs box 3	B7		Fridge	NA	Van Heesch
276	Ig lambda light chain AF700	MHL-38	AF700	Human	Mouse IgG2a, κ	BioLegend	316631	FACS	Abs box 5	E3		Fridge	NA	Van Heesch
277	CD7 BV786	MT701	Brilliant Violet 786	Human	Mouse BALB/c IgG1, κ	BD Bioscience	740964	1:500	Abs box 1	C3		Fridge	NA	Van Heesch
278	CD33 APC	WM53	APC	Human	mouse IgG1 kappa	BioLegend	303407	1:50	Abs box 2	C10	YES	Fridge	NA	Van Heesch
279	Zombie NIR Dye					BioLegend	77184		Abs freezer box 1	NA		Freezer	FACS	Van Heesch
280	CD58	TS2/9	None	Human	Mouse	Biolegend	330902	Interaction blocking	Abs box 5	C4	YES (2x) 	Fridge	NA	Van Heesch
281	CD127 AF488	HIL-7R-M21	AF488	Human	Mouse IgG1, κ	BD Pharmingen	567403		Abs box 3	E1		Fridge	NA	Van Heesch
282	CD25 BB515	2A3	BB515	Human	Mouse BALB/c IgG1, κ	BD Bioscience	564468	1:200	Abs box 2	C3		Fridge	NA	Van Heesch
283	CD56 BV605	NCAM16.2	BV605	Human	?	BD Biosciences	562779		Abs box 3	B8		Fridge	NA	Van Heesch
284	CD1c APC	L161	APC	Human	mouse IgG1 kappa	Biolegend	331523		Abs box 1	A3		Fridge	NA	Van Heesch
285	CD3 PE-Cy7	SK7	PE-Cy7	Human	mouse IgG1 kappa	BioLegend	344815		Abs box 1	A6	YES	Fridge	NA	Van Heesch
286	PageRuler Prestained Protein ladder					Thermo Fisher	26616		Abs freezer box 1	NA		Freezer	WB	Van Heesch
287	CD326 (EpCAM) Pe/Cy7	9C4	Pe-Cy7	Human	Mouse IgG2b, κ	Biolegend	324221	FACS	Abs box 5	D3		Fridge	NA	Van Heesch
288	TCR Vg9 APC/Fire 750	B3	APC Fire750 	Human	Mouse IgG1, κ	BioLegend 	331315		Abs box 4	C6		Fridge	NA	Van Heesch
289	CD8a FITC	HIT8a	FITC	Human	Mouse IgG1, κ 	BioLegend	300906		Abs box 1	D2		Fridge	NA	Van Heesch
290	7-AAD	n.a.	n.a.	Human	n.a.	Invitrogen	00-6993-50	FACS	Abs box 5	A10	YES	Fridge	NA	Van Heesch
291	TDG			Human	rabbit polyclonal	abcam	ab227498		Abs freezer box 1	NA		Freezer	WB	Van Heesch
292	CD64 FITC	10.1	FITC	Human	Mouse IgG1, k	BioLegend	305005		Abs box 3	B9	YES (2x)	Fridge	NA	Van Heesch
293	S100A4 PerCP-Cy5.5	NJ04F3-D1	PerCP-Cy5.5	Human	n.a.	Biolegend	370009	FACS (intracellular)	Abs box 5	D6		Fridge	NA	Van Heesch
294	CD15 (SSEA-1) FITC	HI98	FITC	Human	mouse IgM kappa	BioLegend	301903		Abs box 2	A6	YES	Fridge	NA	Van Heesch
295	TCRab APC	T10B9.1A-31	APC	Human	Mouse IgG1, κ	BD Bioscience	563821		Abs box 4	B7		Fridge	NA	Van Heesch
296	Invariant NK/T BV480	6B11	Brilliant Violet 480	Human	Mouse C57BL/6 IgG1, κ	BD Bioscience	746788	FACS	Abs box 5	C9		Fridge	NA	Van Heesch
297	CD16 FITC	3G8	FITC	Human	mouse IgG1 kappa	BioLegend	302005	1:100	Abs box 2	A10	YES	Fridge	NA	Van Heesch
298	FLAG (M2)	M2		Human	mouse monoclonal	Sigma	F1804	1:1000	Abs freezer box 1	NA		Freezer	WB	Van Heesch
299	UNG	OTI1A11		Human	mouse IgG1	Invitrogen	MA5-25680	1:2500	Abs freezer box 1	NA		Freezer	WB	Van Heesch
300	SETD3 antibody			Human		Sigma	HPA003591		Abs freezer box 2	NA		Freezer	WB/IF	Van Heesch
301	CD3 BV711	UCHT1	Brilliant Violet 711	Human	Mouse IgG1, κ	Biolegend	300463		Abs box 1	A9		Fridge	NA	Van Heesch
302	MLH3	H-2	n.a.	Human	Mouse mAb	Santa Cruz Biotechnology	sc-25313	WB (?)	Abs box 5	B7		Fridge	NA	Van Heesch
303	HLA-DR BV605	L243	BV605	Human	Mouse IgG2a kappa 	BioLegend	307639		Abs box 4	B5	Yes	Fridge	NA	Van Heesch
304	Streptactin-HRP	n.a.	HRP	Human	n.a.	Bio-Rad	161-0380	WB (1:10000)	Abs box 5	B5		Fridge	NA	Van Heesch
305	Lineage (CD3/14/19/20/56) APC	n.a.	APC	Human	mouse IgG1 + IgG2b kappa	BioLegend	348803		Abs box 4	B1		Fridge	NA	Van Heesch
306	CD8a PE/Cy5	HIT8a	PE Cy5	Human	Mouse IgG1, κ	Biolegend	300909		Abs box 1	C9		Fridge	NA	Van Heesch
307	CD7 APC	CD7-6B7	APC	Human	mouse IgG2a kappa	BD Bioscience	343107		Abs box 1	C2		Fridge	NA	Van Heesch
308	POLI			Human	rabbit polyclonal	Novus biologicals	NB100-175	1:500 IF	Abs freezer box 2	NA		Freezer	WB/IF	Van Heesch
309	CD20 FITC	2H7	FITC	Human	mouse IgG2b kappa	BioLegend	302303	1:50	Abs box 2	B9	YES	Fridge	NA	Van Heesch
310	CD3 BUV496	UCHT1	BUV496	Human	Mouse BALB/c IgG1, κ	BD Bioscience	564810	1:500	Abs box 1	B2	YES	Fridge	NA	Van Heesch
311	CD56 BV711	HCD56	Brilliant Violet 711	Human	mouse IgG1 kappa	BioLegend	318335		Abs box 3	B4	YES	Fridge	NA	Van Heesch
312	CD10PE/CY5	H10a	PE Cy5	Human	mouse IgG1 kappa	Biolegend	312206		Abs box 1	D4		Fridge	NA	Van Heesch
313	Anti-phopho-histone H3 (Ser10)	n.a.	n.a.	Human	n.a.	EMD Millipore	06-570		Abs box 5	D8	YES	Fridge	NA	Van Heesch
314	Annexin V/FITC	n.a.	FITC	Human	n.a.	Invitrogen	BMS306F1-100	FACS	Abs box 5	A4		Fridge	NA	Van Heesch
315	CENPH antibody			Human		Sigma	HPA036494		Abs freezer box 2	NA		Freezer	WB/IF	Van Heesch
316	mouse IgG FITC isotype control		FITC		mouse mAb	Merck	12-487		Abs freezer box 1	NA		Freezer	FACS	Van Heesch
317	CD11c BUV661	B-ly6	BUV661	Human	Mouse BALB/c IgG1, κ	BD Bioscience	565067/612968	1:200	Abs box 1	E1	YES	Fridge	NA	Van Heesch
318	CD90 APC	5E10	APC	Human	mouse IgG1 kappa	BioLegend	328113	1:200	Abs box 3	C4	YES	Fridge	NA	Van Heesch
319	beta-Actin	RM112	n.a.	Human	rabbit mAb	Merck	MABT523	WB (1:5000)	Abs box 5	B3		Fridge	NA	Van Heesch
320	CD45 PECy7	HI30	PECy7	Human	Mouse IgG, kappa	Biolegend	304015		Abs box 3	A10		Fridge	NA	Van Heesch
321	Geminin	F-7	n.a.	Human	Mouse mAb	Santa Cruz Biotechnology	sc-74456 	WB (?)	Abs box 5	B6		Fridge	NA	Van Heesch
322	BLM			Human	rabbit polyclonal	Abcam	ab2179		Abs freezer box 1	NA		Freezer	WB	Van Heesch
323	CD15 BV711	W6D3	BV711	Human	?	BD Bioscience	563142		Abs box 2	A8		Fridge	NA	Van Heesch
324	CD42b PE	HIP1	PE	Human	mouse IgG1 kappa	BioLegend	303905	1:20	Abs box 2	E3	YES	Fridge	NA	Van Heesch
325	CD45 FITC	HI30	FITC	Human	mouse IgG1 kappa	BioLegend	304005	1:50	Abs box 3	A7		Fridge	NA	Van Heesch
326	CD40 AF700	5C3	Alexa Fluor 700	Human	mouse IgG1 kappa	BioLegend	334327	1:50	Abs box 2	D7		Fridge	NA	Van Heesch
327	CD45 BV421	HI30	BV421	Human	Mouse IgG1, κ	Biolegend 	304031		Abs box 3	A9	YES	Fridge	NA	Van Heesch
328	CD38 PE	HIT2	PE	Human	mouse IgG1 kappa	BioLegend	303505	1:50	Abs box 2	D6	YES	Fridge	NA	Van Heesch
329	Lineage (CD3/14/19/20/56) FITC	n.a.	FITC	Human	mouse IgG1 + IgG2b kappa	BioLegend	348701	1:20	Abs box 4	A10	YES	Fridge	NA	Van Heesch
330	HA-Tag 	C29F4		Human	rabbit mAb	Cell Signaling Technology	3724S		Abs freezer box 1	NA		Freezer	WB	Van Heesch
331	phospho-yH2AX FITC	JBW301	FITC	Human	mouse mAb	Merck	16-202A		Abs freezer box 1	NA		Freezer	FACS	Van Heesch
332	CD66b PE/Dazzle 594	G10F5	PE/Dazzle 594	Human	mouse IgM kappa	BioLegend	305121		Abs box 3	B10	YES	Fridge	NA	Van Heesch
333	anti-mouse IgG AF647	n.a.	Alexa Fluor 647	Mouse	goat	Invitrogen	2272554	IF	Abs box 5	B8		Fridge	NA	Van Heesch
334	CD19 PE/Dazzle 594	HIB19	PE/Dazzle 594	Human	mouse IgG1 kappa	BioLegend	302251		Abs box 2	B6	YES (2x)	Fridge	NA	Van Heesch
335	Claudin-3 PE	n.a.	PE	Human	Mouse IgG2A	R&D systems	FAB4620P	FACS	Abs box 5	D5		Fridge	NA	Van Heesch
336	CD1a PE	HI149	PE	Human	Mouse IgG1, k 	Biolegend	300105	1:1000	Abs box 1	A1		Fridge	NA	Van Heesch
337	CD8a BV785	SK1	Brilliant Violet 785	Human	mouse IgG1 kappa	BioLegend	344739		Abs box 1	C5		Fridge	NA	Van Heesch
338	CD45 APC-R700	HI30	APC-R700	Human	Mouse IgG1, k 	Biolegend	304023	1:2000	Abs box 3	A4		Fridge	NA	Van Heesch
339	ATR			Human	rabbit polyclonal	Abcam	ab2905		Abs freezer box 1	NA		Freezer	WB	Van Heesch
340	CD4 AF700	OKT4	AF700	Human	Mouse IgG2b, κ	Biolegend	317426		Abs box 1	B7		Fridge	NA	Van Heesch
341	CD40 PE/Cy7	5C3	PE/Cy7	Human	mouse IgG1 kappa	BD Bioscience	561215		Abs box 2	D9		Fridge	NA	Van Heesch
342	CD5 PE	UCHT2	PE	Human	Mouse IgG1, κ 	BioLegend	300608		Abs box 1	C1		Fridge	NA	Van Heesch
343	CD15 (SSEA-1) PE	HI98	PE	Human	Mouse IgM kappa	Biolegend	301905	1:50 (Inge: 1:20)	Abs box 2	A7		Fridge	NA	Van Heesch
344	CD4 APC/Cy7	SK3	APC/Cy7	Human 	Mouse IgG1, κ	BioLegend	344616		Abs box 1	B8		Fridge	NA	Van Heesch
345	CD105 PE/Cy7	43A3	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	323217		Abs box 3	C9	YES	Fridge	NA	Van Heesch
346	CD15 AF700	HI98	AF700	Human	Mouse IgM kappa	BioLegend	301919		Abs box 2	A9		Fridge	NA	Van Heesch
347	CD19 BV711	SJ25C1	BV 711	Human	Mouse BALB/c IgG1, κ	BD Bioscience	563038		Abs box 2	B3		Fridge	NA	Van Heesch
348	CD11c BV605	3.9	BV605	Human	mouse IgG1 kappa	Biolegend	301635		Abs box 1	D10		Fridge	NA	Van Heesch
349	S9.6 (Anti-DNA-RNA Hybrid)	S9.6		Human	mouse monoclonal	Kerafast	ENH001		Abs freezer box 1	NA		Freezer	WB/IF/IP	Van Heesch
350	CD5 BUV737	UCHT2	BUV737	Human	Mouse BALB/c IgG1, κ	BD Bioscience	564451	1:500	Abs box 1	B9		Fridge	NA	Van Heesch
351	Hoechst 33342	n.a.	n.a.	Human	n.a.	Thermo Fischer 	H3570	IF 	Abs box 5	E5		Fridge	NA	Van Heesch
352	CD49f PE/Cy7	GoH3	PE/Cy7	Human	rat IgG1a kappa	BioLegend	313621	1:100	Abs box 3	B3	YES	Fridge	NA	Van Heesch
353	CD8a BV711	RPA-T8	Brilliant Violet 711	Human	Mouse IgG1, κ	Biolegend	301043	1:500	Abs box 1	C7	YES	Fridge	NA	Van Heesch
354	Cd34 Pe Cy7	581	PE Cy7	Human	?	BD Bioscience	561819		Abs box 2	D5		Fridge	NA	Van Heesch
355	CD3 PE	UCHT1	PE	Human	Mouse BALB/c IgG1, κ	BD Bioscience	561809		Abs box 1	A8	Yes (2x)	Fridge	NA	Van Heesch
356	MBD4			Human	rabbit polyclonal	Abcam	ab12187		Abs freezer box 1	NA		Freezer	WB	Van Heesch
357	TCRgd APC	B1	APC	Human	Mouse IgG1, κ	BD Bioscience	561049		Abs box 4	B10	YES	Fridge	NA	Van Heesch
358	TCRab PE/Cy5	IP26	PE Cy5	Human	mouse IgG1 kappa	BioLegend	306710		Abs box 4	C8		Fridge	NA	Van Heesch
359	MSH2	D24B5		Human	rabbit mAb	Cell Signaling Technology	2017S	1:2000	Abs freezer box 1	NA		Freezer	WB	Van Heesch
360	TARC/CCL17 PE	54015	PE	Human	mouse IgG1 kappa	R&D Systems	IC3641P		Abs box 4	B2		Fridge	NA	Van Heesch
361	anti-mouse IgG AF488	n.a.	Alexa Fluor 488	Mouse	Goat / IgG	invitrogen	2220848	IF	Abs box 5	B1		Fridge	NA	Van Heesch
362	RPA32/RPA2	9H8		Human	mouse monoclonal	Abcam	ab2175		Abs freezer box 2	NA		Freezer	WB/IF	Van Heesch
363	TCR Vd2 PE	B6 	PE	Human	Mouse IgG1, κ	BioLegend	331407		Abs box 4	C5		Fridge	NA	Van Heesch
364	Anti-Phospho_Histone H2A.X	JBW301	n.a.	Human	Mouse mAb	Sigma/Merck	05-636	IF (1:1000)	Abs box 5	A9	YES	Fridge	NA	Van Heesch
365	HLA-DR BUV737	G46-6	BUV737	Human	Mouse IgG2a, κ	BD Bioscience	748339		Abs box 4	B3		Fridge	NA	Van Heesch
366	CD271 APC	ME20.4	APC	Human	mouse IgG1 kappa	BioLegend	345107		Abs box 4	A9	YES	Fridge	NA	Van Heesch
367	CD34 PE 	561	PE	Human	mouse IgG2a kappa	BioLegend	343605		Abs box 2	D4		Fridge	NA	Van Heesch
368	CD80 BV510	2D10	Brilliant Violet 510	Human	Mouse IgG1, κ	Biolegend	305233		Abs box 3	C3	YES	Fridge	NA	Van Heesch
369	SF3B1	D7L5T		Human	Rabbit mAb	Cell Signaling Technology	14434S	1:1000 WB	Abs freezer box 2	NA		Freezer	WB (+FACS?)	Van Heesch
370	CD45RA PerCP/Cy5.5	HI100	PerCP/Cy5.5	Human	mouse IgG2b kappa	BioLegend	304121	1:20	Abs box 3	B2		Fridge	NA	Van Heesch
371	CD45 PerCP/Cy5.5	HI30	PerCP/Cy5.5	Human	mouse IgG1 kappa	BioLegend	304027		Abs box 3	A8	YES	Fridge	NA	Van Heesch
372	CD1a BV421	HI149	BV421	Human	Mouse IgG1, k 	Biolegend	300128		Abs box 1	A2		Fridge	NA	Van Heesch
373	HLA-DR BUV805	G46-6	BUV805	Human	?	BD Bioscience	568335		Abs box 4	B6		Fridge	NA	Van Heesch
374	CD127 BV421	HIL-7R-M21	BV421	Human	Mouse IgG1, kappa	BD Bioscience	562436		Abs box 3	D10		Fridge	NA	Van Heesch
